ResponseId,MainBranch,AISelect,ConvertedCompYearly,WorkExp,YearsCode,Age,DevType,Country,OrgSize,EdLevel,RemoteWork,Employment,treat,log_salary
42,I am a developer by profession,"Yes, I use AI tools daily",270000.0,25.0,25.0,45-54 years old,"Developer, front-end",United States of America,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.506177237980511
43,I am a developer by profession,"Yes, I use AI tools daily",250000.0,25.0,35.0,35-44 years old,"Developer, mobile",United States of America,"10,000 or more employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,12.429216196844383
46,I am a developer by profession,"No, and I don't plan to",80966.0,20.0,23.0,45-54 years old,AI/ML engineer,Hungary,20 to 99 employees,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.301784592447168
50,I am a developer by profession,"Yes, I use AI tools daily",117793.0,6.0,12.0,25-34 years old,Academic researcher,Switzerland,"1,000 to 4,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.676684125683597
51,I am a developer by profession,"Yes, I use AI tools daily",75410.0,10.0,19.0,35-44 years old,"Developer, game or graphics",Germany,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.230695171196693
55,I am a developer by profession,"Yes, I use AI tools daily",83531.0,13.0,13.0,25-34 years old,"Developer, full-stack",Netherlands,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.332973099424969
60,I am a developer by profession,"Yes, I use AI tools daily",151117.0,20.0,25.0,45-54 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.925809650204917
61,I am a developer by profession,"Yes, I use AI tools daily",67289.0,17.0,20.0,35-44 years old,"Developer, back-end",Spain,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.116752055022747
68,I am a developer by profession,"Yes, I use AI tools daily",75472.0,9.0,12.0,25-34 years old,"Developer, back-end",Sweden,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.231517005524044
74,I am a developer by profession,"Yes, I use AI tools daily",115720.0,36.0,45.0,55-64 years old,Engineering manager,United Kingdom of Great Britain and Northern Ireland,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.658928759090072
82,I am a developer by profession,"No, and I don't plan to",116000.0,12.0,25.0,35-44 years old,"Developer, desktop or enterprise applications",United States of America,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,0,11.661345470088502
83,I am a developer by profession,"Yes, I use AI tools daily",87011.0,9.0,15.0,25-34 years old,"Developer, full-stack",Belgium,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.373789826425874
85,I am a developer by profession,"Yes, I use AI tools daily",36407.0,15.0,15.0,25-34 years old,"Architect, software or solutions",Brazil,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,10.502516342828386
86,I am a developer by profession,"Yes, I use AI tools daily",139218.0,15.0,20.0,35-44 years old,"Developer, AI apps or physical AI",Italy,"5,000 to 9,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,11.843796328867422
89,I am a developer by profession,"Yes, I use AI tools daily",13649.0,6.0,8.0,25-34 years old,"Developer, back-end",Argentina,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,9.521421537856195
93,I am a developer by profession,"Yes, I use AI tools daily",81685.0,6.0,10.0,35-44 years old,"Developer, embedded applications or devices",United Kingdom of Great Britain and Northern Ireland,"5,000 to 9,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.31062566546061
96,I am a developer by profession,"No, and I don't plan to",167061.0,33.0,42.0,45-54 years old,"Developer, AI apps or physical AI",Belgium,"1,000 to 4,999 employees","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Remote,Employed,0,12.026114294165321
98,I am a developer by profession,"Yes, I use AI tools daily",8509.0,3.0,11.0,25-34 years old,"Developer, full-stack",Bangladesh,"1,000 to 4,999 employees",Some college/university study without earning a degree,In-person,Employed,1,9.048879705849558
100,I am a developer by profession,"Yes, I use AI tools daily",145018.0,26.0,41.0,45-54 years old,"Developer, full-stack",Germany,Less than 20 employees,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.88461315162927
101,I am a developer by profession,"No, and I don't plan to",155000.0,25.0,27.0,45-54 years old,"Developer, back-end",United States of America,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.951180395901384
102,I am a developer by profession,"No, but I plan to soon",80254.0,15.0,20.0,35-44 years old,"Developer, full-stack",Canada,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,11.29295188398684
103,I am a developer by profession,"Yes, I use AI tools daily",83531.0,17.0,22.0,35-44 years old,"Developer, back-end",Italy,100 to 499 employees,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,Employed,1,11.332973099424969
104,I am a developer by profession,"Yes, I use AI tools daily",109438.0,10.0,15.0,25-34 years old,"Developer, full-stack",Canada,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.603113457835589
106,I am a developer by profession,"Yes, I use AI tools daily",87561.0,21.0,24.0,45-54 years old,"Developer, back-end",Norway,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.380090972311647
111,I am a developer by profession,"Yes, I use AI tools daily",120000.0,10.0,16.0,25-34 years old,"Developer, full-stack",United States of America,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.695247021764184
112,I am a developer by profession,"Yes, I use AI tools daily",2157.0,2.0,2.0,18-24 years old,"Developer, full-stack",Egypt,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,7.676473646389156
120,I am a developer by profession,"Yes, I use AI tools daily",41765.0,4.0,10.0,25-34 years old,Data engineer,Spain,"1,000 to 4,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,10.639813947190007
123,I am a developer by profession,"Yes, I use AI tools daily",65663.0,22.0,27.0,45-54 years old,"Developer, full-stack",Canada,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.092290879929589
124,I am a developer by profession,"Yes, I use AI tools daily",113085.0,16.0,16.0,35-44 years old,"Developer, full-stack",Canada,100 to 499 employees,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,Employed,1,11.635895027313913
126,I am a developer by profession,"Yes, I use AI tools daily",94235.0,8.0,13.0,25-34 years old,"Developer, full-stack",Switzerland,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.453546941450728
131,I am a developer by profession,"No, and I don't plan to",80000.0,3.0,9.0,18-24 years old,"Developer, full-stack",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,0,11.289781913656018
132,I am a developer by profession,"Yes, I use AI tools daily",350000.0,25.0,28.0,45-54 years old,"Developer, back-end",United States of America,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.765688433465597
133,I am a developer by profession,"No, but I plan to soon",39445.0,3.0,6.0,18-24 years old,"Developer, mobile",Italy,100 to 499 employees,Some college/university study without earning a degree,Remote,Employed,0,10.58266257552919
135,I am a developer by profession,"Yes, I use AI tools daily",43375.0,10.0,10.0,18-24 years old,"Developer, full-stack",Hungary,Less than 20 employees,"Associate degree (A.A., A.S., etc.)","Your choice (very flexible, you can come in when you want or just as needed)","Independent contractor, freelancer, or self-employed",1,10.67763851724916
137,I am a developer by profession,"Yes, I use AI tools daily",4873.0,19.0,26.0,35-44 years old,"Developer, mobile",Republic of Moldova,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,8.491465042843506
139,I am a developer by profession,"Yes, I use AI tools daily",66017.0,1.0,8.0,25-34 years old,AI/ML engineer,Norway,"5,000 to 9,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.097667563599199
142,I am a developer by profession,"No, and I don't plan to",27844.0,3.0,8.0,18-24 years old,"Developer, embedded applications or devices",France,"1,000 to 4,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,Employed,0,10.234372782288558
146,I am a developer by profession,"No, and I don't plan to",83531.0,8.0,10.0,35-44 years old,"Developer, desktop or enterprise applications",Germany,"10,000 or more employees","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.332973099424969
147,I am a developer by profession,"Yes, I use AI tools daily",114981.0,7.0,9.0,25-34 years old,"Developer, full-stack",Switzerland,"1,000 to 4,999 employees",Some college/university study without earning a degree,"Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.652522176304187
150,I am a developer by profession,"Yes, I use AI tools daily",200000.0,15.0,15.0,35-44 years old,"Developer, full-stack",United States of America,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,12.206072645530174
151,I am a developer by profession,"Yes, I use AI tools daily",69609.0,30.0,40.0,45-54 years old,"Developer, back-end",France,500 to 999 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,11.150649148307476
154,I am a developer by profession,"No, but I plan to soon",31324.0,2.0,12.0,25-34 years old,"Developer, back-end",Italy,20 to 99 employees,Some college/university study without earning a degree,"Hybrid (some in-person, leans heavy to flexibility)",Employed,0,10.352139855870828
156,I am a developer by profession,"No, and I don't plan to",75410.0,6.0,17.0,25-34 years old,"Developer, full-stack",Germany,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,0,11.230695171196693
159,I am a developer by profession,"Yes, I use AI tools daily",19983.0,8.0,8.0,25-34 years old,"Developer, full-stack",Sri Lanka,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,9.90263719108129
160,I am a developer by profession,"No, and I don't plan to",165000.0,15.0,20.0,35-44 years old,"Developer, full-stack",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,12.013700752882718
163,I am a developer by profession,"Yes, I use AI tools daily",44086.0,10.0,32.0,35-44 years old,"Developer, full-stack",Portugal,20 to 99 employees,Some college/university study without earning a degree,Remote,Employed,1,10.693897550716283
164,I am a developer by profession,"Yes, I use AI tools daily",120485.0,11.0,14.0,35-44 years old,"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,Some college/university study without earning a degree,Remote,Employed,1,11.699280542836602
168,I am a developer by profession,"Yes, I use AI tools daily",98842.0,6.0,11.0,25-34 years old,"Developer, full-stack",Norway,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.501277894620612
169,I am a developer by profession,"Yes, I use AI tools daily",46406.0,39.0,39.0,55-64 years old,"Developer, full-stack",Italy,100 to 499 employees,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,10.745184040199312
173,I am a developer by profession,"Yes, I use AI tools daily",148499.0,21.0,15.0,35-44 years old,"Senior executive (C-suite, VP, etc.)",Belgium,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.908333503195484
179,I am a developer by profession,"No, and I don't plan to",72958.0,3.0,15.0,18-24 years old,"Developer, back-end",Canada,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.197639212091788
183,I am a developer by profession,"Yes, I use AI tools daily",94846.0,30.0,40.0,45-54 years old,Engineering manager,Canada,"5,000 to 9,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.460009802623613
185,I am a developer by profession,"No, and I don't plan to",49011.0,25.0,28.0,35-44 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,0,10.799800041694619
186,I am a developer by profession,"Yes, I use AI tools daily",58007.0,12.0,36.0,35-44 years old,"Developer, full-stack",Germany,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,Employed,1,10.968318971901319
187,I am a developer by profession,"Yes, I use AI tools daily",8121.0,2.0,6.0,18-24 years old,Other (please specify):,Netherlands,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Student,1,9.002208578282412
188,I am a developer by profession,"No, and I don't plan to",102142.0,20.0,20.0,45-54 years old,"Developer, full-stack",Canada,Less than 20 employees,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.53411928097723
190,I am a developer by profession,"Yes, I use AI tools daily",3371.0,12.0,16.0,25-34 years old,"Developer, full-stack",Philippines,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,8.12296471523406
197,I am a developer by profession,"Yes, I use AI tools daily",63808.0,20.0,30.0,35-44 years old,"Developer, full-stack",Portugal,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.06363385332151
198,I am a developer by profession,"Yes, I use AI tools daily",190000.0,25.0,33.0,45-54 years old,"Developer, full-stack",United States of America,500 to 999 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.154779351142624
199,I am a developer by profession,"No, and I don't plan to",8357.0,10.0,17.0,25-34 years old,"Developer, full-stack",China,"Just me - I am a freelancer, sole proprietor, etc.","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,"Independent contractor, freelancer, or self-employed",0,9.030854790001436
200,I am a developer by profession,"Yes, I use AI tools daily",34804.0,4.0,10.0,25-34 years old,Cloud infrastructure engineer,Spain,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,10.457487601685916
201,I am a developer by profession,"No, and I don't plan to",155000.0,25.0,25.0,35-44 years old,"Developer, back-end",United States of America,Less than 20 employees,Some college/university study without earning a degree,Remote,Employed,0,11.951180395901384
203,I am a developer by profession,"Yes, I use AI tools daily",41765.0,4.0,7.0,18-24 years old,"Developer, front-end",Brazil,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,10.639813947190007
207,I am a developer by profession,"No, and I don't plan to",22456.0,4.0,12.0,18-24 years old,"Developer, embedded applications or devices",Ukraine,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,0,10.019313118041719
208,I am a developer by profession,"Yes, I use AI tools daily",70000.0,2.0,9.0,18-24 years old,"Developer, full-stack",United States of America,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,1,11.156250521031495
210,I am a developer by profession,"Yes, I use AI tools daily",78000.0,8.0,18.0,25-34 years old,"Developer, full-stack",Argentina,"5,000 to 9,999 employees","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Remote,Employed,1,11.26446410567173
211,I am a developer by profession,"Yes, I use AI tools daily",1208.0,5.0,7.0,25-34 years old,"Developer, front-end",Ukraine,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,7.0967213784947605
217,I am a developer by profession,"Yes, I use AI tools daily",248250.0,13.0,22.0,35-44 years old,"Developer, back-end",Canada,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.42219158190742
218,I am a developer by profession,"Yes, I use AI tools daily",18562.0,1.0,11.0,25-34 years old,"Developer, full-stack",Portugal,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,9.828871759155339
220,I am a developer by profession,"Yes, I use AI tools daily",220428.0,21.0,30.0,45-54 years old,"Developer, back-end",Netherlands,"Just me - I am a freelancer, sole proprietor, etc.",Some college/university study without earning a degree,"Hybrid (some remote, leans heavy to in-person)","Independent contractor, freelancer, or self-employed",1,12.303326389934064
221,I am a developer by profession,"Yes, I use AI tools daily",200000.0,14.0,22.0,35-44 years old,"Developer, back-end",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.206072645530174
222,I am a developer by profession,"Yes, I use AI tools daily",202416.0,15.0,32.0,35-44 years old,"Developer, embedded applications or devices",Hungary,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.21808026465445
226,I am a developer by profession,"Yes, I use AI tools daily",69609.0,25.0,30.0,45-54 years old,"Developer, full-stack",Germany,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.150649148307476
228,I am a developer by profession,"Yes, I use AI tools daily",165000.0,15.0,20.0,35-44 years old,"Developer, back-end",United States of America,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.013700752882718
231,I am a developer by profession,"Yes, I use AI tools daily",140000.0,13.0,16.0,35-44 years old,"Developer, back-end",Colombia,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.84939770159144
241,I am a developer by profession,"Yes, I use AI tools daily",58828.0,25.0,25.0,35-44 years old,Academic researcher,Israel,"5,000 to 9,999 employees","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,10.982373211020205
243,I am a developer by profession,"Yes, I use AI tools daily",91215.0,6.0,10.0,25-34 years old,Data engineer,United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.42097463622232
245,I am a developer by profession,"No, but I plan to soon",104413.0,8.0,15.0,25-34 years old,"Developer, embedded applications or devices",Germany,"10,000 or more employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.556109467751368
246,I am a developer by profession,"Yes, I use AI tools daily",107894.0,12.0,20.0,35-44 years old,"Developer, mobile",Germany,500 to 999 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.588904542656538
247,I am a developer by profession,"Yes, I use AI tools daily",92812.0,28.0,33.0,45-54 years old,"Developer, back-end",Ireland,500 to 999 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.438331220759258
251,I am a developer by profession,"No, but I plan to soon",60000.0,8.0,10.0,25-34 years old,Data or business analyst,United States of America,100 to 499 employees,Some college/university study without earning a degree,In-person,Employed,0,11.002099841204238
261,I am a developer by profession,"Yes, I use AI tools daily",145917.0,10.0,10.0,25-34 years old,Engineering manager,Canada,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.890793245886288
264,I am a developer by profession,"No, and I don't plan to",162000.0,20.0,28.0,45-54 years old,"Developer, back-end",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,11.99535161421452
267,I am a developer by profession,"Yes, I use AI tools daily",12533.0,1.0,4.0,18-24 years old,"Developer, full-stack",Morocco,"10,000 or more employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,9.436120444611522
268,I am a developer by profession,"Yes, I use AI tools daily",79043.0,13.0,13.0,35-44 years old,"Developer, back-end",India,500 to 999 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.277747287167045
269,I am a developer by profession,"Yes, I use AI tools daily",63808.0,12.0,12.0,35-44 years old,"Developer, front-end",Spain,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Not employed,1,11.06363385332151
273,I am a developer by profession,"No, and I don't plan to",135000.0,11.0,15.0,35-44 years old,"Developer, back-end",United States of America,20 to 99 employees,Some college/university study without earning a degree,Remote,Employed,0,11.813030057420567
274,I am a developer by profession,"No, and I don't plan to",52207.0,15.0,20.0,35-44 years old,"Developer, back-end",France,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,0,10.86297186449704
278,I am a developer by profession,"Yes, I use AI tools daily",109160.0,13.0,20.0,25-34 years old,"Developer, back-end",Poland,"1,000 to 4,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)","Independent contractor, freelancer, or self-employed",1,11.600569974822275
279,I am a developer by profession,"Yes, I use AI tools daily",12633.0,5.0,6.0,25-34 years old,"Developer, back-end",Mexico,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,1,9.444067716830038
284,I am a developer by profession,"No, and I don't plan to",76512.0,15.0,22.0,35-44 years old,"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.245202870258051
286,I am a developer by profession,"Yes, I use AI tools daily",23203.0,2.0,5.0,35-44 years old,"Developer, full-stack",France,"1,000 to 4,999 employees","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,10.052036859639367
287,I am a developer by profession,"No, and I don't plan to",81685.0,3.0,14.0,18-24 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,500 to 999 employees,Some college/university study without earning a degree,"Hybrid (some remote, leans heavy to in-person)",Employed,0,11.31062566546061
292,I am a developer by profession,"Yes, I use AI tools daily",20883.0,25.0,44.0,45-54 years old,"Developer, full-stack",Spain,Less than 20 employees,Primary/elementary school,"Hybrid (some in-person, leans heavy to flexibility)",Employed,1,9.946690709836776
296,I am a developer by profession,"Yes, I use AI tools daily",74878.0,21.0,31.0,45-54 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,500 to 999 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.223615401393062
297,I am a developer by profession,"Yes, I use AI tools daily",210000.0,29.0,25.0,45-54 years old,"Developer, full-stack",United States of America,Less than 20 employees,Some college/university study without earning a degree,"Hybrid (some in-person, leans heavy to flexibility)",Employed,1,12.254862809699606
299,I am a developer by profession,"No, but I plan to soon",11624.0,1.0,3.0,18-24 years old,"Developer, full-stack",India,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,0,9.36082720525012
